name	ok	n_turns	j_crit	j_turn	ratio
nu=7.734,chi=0.433	True	1	0.1414259209931913	0.1386356330083067	0.9802703212728667
nu=7.734,chi=0.5	True	1	0.12502879085826074	0.12247899983095847	0.9796063689827021
nu=7.734,chi=0.567	True	1	0.10869305988536096	0.10639984920668447	0.978901958587833
nu=7.734,chi=0.633	True	1	0.09245254242726395	0.09043450249705966	0.9781721532234556
nu=7.734,chi=0.7	True	1	0.07635363420069119	0.07462477566419025	0.9773572200642509
nu=7.734,chi=0.767	True	1	0.06046219506179698	0.0590617500741541	0.9768376754067312
nu=7.734,chi=0.833	True	1	0.044877000234423724	0.043856216452200246	0.9772537429665259
nu=7.734,chi=0.9	True	1	0.02976014386359529	0.029186842815377777	0.9807359449992843
nu=10.62,chi=0.1	True	1	0.2228653894770795	0.21902612886825434	0.9827731860122677
nu=10.62,chi=0.167	True	1	0.20594556771366546	0.20226011247994197	0.9821047120623274
nu=10.62,chi=0.233	True	1	0.18902504413492585	0.18550483289895078	0.9813770114320812
nu=10.62,chi=0.3	True	1	0.17211587800900502	0.168772435936052	0.980574470457757
nu=10.62,chi=0.367	True	1	0.15523328167335054	0.15207968944732408	0.9796848189252199
nu=10.62,chi=0.433	True	1	0.13839661695213173	0.13544755576817347	0.9786912335799488
nu=10.62,chi=0.5	True	1	0.12163090087118962	0.11889583063698755	0.9775133603828309
nu=10.62,chi=0.567	True	1	0.10496907887727358	0.10244921231517704	0.9759942014443825
nu=10.62,chi=0.633	True	1	0.08845521109279808	0.08617780164484366	0.9742535298958792
nu=10.62,chi=0.7	True	1	0.07214988302834802	0.07014967851953992	0.9722770928398843
nu=10.62,chi=0.767	True	1	0.05613911482109447	0.05446207087959334	0.9701269970706596
nu=10.62,chi=0.833	True	1	0.040550998389114065	0.03924778924114718	0.9678624645573033
nu=10.62,chi=0.9	True	1	0.025591285302067213	0.024766101332312333	0.9677552745000961
nu=14.57,chi=0.1	True	1	0.2222370631037965	0.2183652135231812	0.9825778404081638
nu=14.57,chi=0.167	True	1	0.2049156901754729	0.20117791033393065	0.9817594258480572
nu=14.57,chi=0.233	True	1	0.18761029520981337	0.1840181254627978	0.9808530243876101
nu=14.57,chi=0.3	True	1	0.17033565594267508	0.166904922252833	0.9798589809581814
nu=14.57,chi=0.367	True	1	0.1531102093724288	0.14984997446062176	0.9787066131960098
nu=14.57,chi=0.433	True	1	0.13595757879542564	0.13287662514491214	0.9773388605636366
nu=14.57,chi=0.5	True	1	0.11890857139649733	0.11600178644438452	0.9755544539979358
